"Date","Region","Hospitalised","In ICU","Home Isolation","Healed","Dead","Tests","People Tested","ICU Entries","Swab Test Positive","Antigenic Test Positive","Swab Tests","Antigenic Tests"
2020-04-16,"Trento",-16,-5,4,87,4,1238,NA,NA,74,NA,1238,NA
2020-04-16,"Piemonte",80,-20,528,212,79,5044,NA,NA,879,NA,5044,NA
2020-04-16,"Puglia",11,-15,56,11,11,1640,NA,NA,74,NA,1640,NA
2020-04-16,"Sardegna",2,-2,-5,6,2,401,NA,NA,3,NA,401,NA
2020-04-16,"Sicilia",-16,-1,44,11,6,2538,NA,NA,44,NA,2538,NA
2020-04-16,"Toscana",-37,-3,236,52,29,5303,NA,NA,277,NA,5303,NA
2020-04-16,"Umbria",-6,-4,-36,52,1,1229,NA,NA,7,NA,1229,NA
2020-04-16,"Valle d'Aosta",-7,1,-24,42,1,265,NA,NA,13,NA,265,NA
2020-04-16,"Veneto",-14,-10,35,314,41,8205,NA,NA,366,NA,8205,NA
2020-04-17,"Abruzzo",-5,1,96,2,3,1650,NA,NA,97,NA,1650,NA
2020-04-17,"Basilicata",-1,0,-6,8,0,361,NA,NA,1,NA,361,NA
2020-04-17,"Calabria",-3,-2,-23,9,1,1015,NA,NA,-18,NA,1015,NA
2020-04-17,"Campania",4,0,-95,148,7,2401,NA,NA,64,NA,2401,NA
2020-04-17,"Emilia Romagna",-30,-7,-41,366,60,4721,NA,NA,348,NA,4721,NA
2020-04-17,"Friuli V.G.",-11,-3,112,-42,3,4264,NA,NA,59,NA,4264,NA
2020-04-17,"Lazio",-15,-10,95,58,16,2762,NA,NA,144,NA,2762,NA
2020-04-17,"Liguria",-60,2,80,89,38,1236,NA,NA,149,NA,1236,NA
2020-04-17,"Lombardia",-729,-61,1134,454,243,10839,NA,NA,1041,NA,10839,NA
2020-04-17,"Marche",-11,-8,52,32,21,4219,NA,NA,86,NA,4219,NA
2020-04-17,"Molise",1,0,4,1,0,115,NA,NA,6,NA,115,NA
2020-04-17,"Bolzano",1,-2,-10,31,9,1282,NA,NA,29,NA,1282,NA
2020-04-17,"Trento",-10,1,-88,159,20,1148,NA,NA,82,NA,1148,NA
2020-04-17,"Piemonte",-152,-13,380,403,77,6006,NA,NA,695,NA,6006,NA
2020-04-17,"Puglia",-13,4,40,30,8,2120,NA,NA,69,NA,2120,NA
2020-04-17,"Sardegna",4,-1,4,6,1,508,NA,NA,14,NA,508,NA
2020-04-17,"Sicilia",-4,-2,37,12,3,2767,NA,NA,46,NA,2767,NA
2020-04-17,"Toscana",-42,-6,18,180,17,4580,NA,NA,167,NA,4580,NA
2020-04-17,"Umbria",-5,-2,-35,48,2,1331,NA,NA,8,NA,1331,NA
2020-04-17,"Valle d'Aosta",3,-3,-27,48,1,207,NA,NA,22,NA,207,NA
2020-04-17,"Veneto",-29,-12,-141,521,45,12173,NA,NA,384,NA,12173,NA
2020-04-18,"Abruzzo",2,-2,29,8,7,1580,NA,NA,44,NA,1580,NA
2020-04-18,"Basilicata",1,-1,-4,5,1,346,NA,NA,2,NA,346,NA
2020-04-18,"Calabria",-2,0,15,7,0,1137,NA,NA,20,NA,1137,NA
